Date,Open,High,Low,Close,Volume
2020-03-13 20:00:00,129.94,131.82,126.87,128.71,14952.18
2020-03-13 19:00:00,119.51,132.02,117.1,129.94,60675.35
2020-03-13 18:00:00,124.47,124.85,115.5,119.51,40771.21
2020-03-13 17:00:00,124.08,127.42,121.63,124.47,22119.04
2020-03-13 16:00:00,124.85,129.51,120.17,124.08,35884.55
2020-03-13 15:00:00,128.39,128.9,116.06,124.85,60449.84
2020-03-13 14:00:00,134.03,137.9,125.5,128.39,27993.63
2020-03-13 13:00:00,131.35,140.95,128.99,134.03,70628.83
2020-03-13 12:00:00,128.93,134.6,126.95,131.35,29785.74
2020-03-13 11:00:00,132.6,133.17,126.01,128.93,25508.06
2020-03-13 10:00:00,133.8,134.99,128.9,132.6,26240.14
2020-03-13 09:00:00,127.12,136.53,126.62,133.8,21189.68
2020-03-13 08:00:00,127.57,133.1,121.94,127.12,53444.01
2020-03-13 07:00:00,127.28,129.0,120.83,127.57,42412.96
2020-03-13 06:00:00,116.87,127.93,114.45,127.28,47810.97
2020-03-13 05:00:00,111.87,124.0,110.75,116.87,54791.37
2020-03-13 04:00:00,130.91,130.91,106.43,111.87,64923.96
2020-03-13 03:00:00,117.02,148.0,115.15,130.91,148452.42
2020-03-13 02:00:00,98.88,127.74,90.0,117.02,172971.38
2020-03-13 01:00:00,107.09,110.99,97.0,98.88,76645.76
2020-03-13 00:00:00,110.3,117.5,102.92,107.09,93935.03
2020-03-12 23:00:00,126.78,126.82,101.22,110.3,172720.4
2020-03-12 22:00:00,130.3,134.25,124.83,126.78,67864.27
2020-03-12 21:00:00,128.15,132.14,122.83,130.3,50880.07
2020-03-12 20:00:00,138.0,138.96,124.04,128.15,151168.66
2020-03-12 19:00:00,137.04,139.69,136.43,138.0,27650.91
2020-03-12 18:00:00,141.8,143.0,136.52,137.04,18006.5
2020-03-12 17:00:00,139.25,146.17,138.32,141.8,35525.56
2020-03-12 16:00:00,141.24,142.49,134.53,139.25,29523.47
2020-03-12 15:00:00,140.79,141.58,137.5,141.24,24465.59
2020-03-12 14:00:00,135.39,144.0,131.0,140.79,63210.48
2020-03-12 13:00:00,137.67,139.8,126.0,135.39,73310.15
2020-03-12 12:00:00,136.83,144.63,135.0,137.67,67489.33
2020-03-12 11:00:00,134.67,151.19,126.29,136.83,120153.99
2020-03-12 10:00:00,167.5,168.3,126.28,134.67,118360.16
2020-03-12 09:00:00,169.16,169.88,167.08,167.5,14985.14
2020-03-12 08:00:00,171.38,172.07,166.24,169.16,27720.14
2020-03-12 07:00:00,173.41,173.79,168.0,171.38,41086.16
2020-03-12 06:00:00,181.43,181.53,171.14,173.41,48763.37
2020-03-12 05:00:00,181.11,181.6,179.59,181.43,12618.49
2020-03-12 04:00:00,182.55,182.57,177.16,181.11,27547.63
2020-03-12 03:00:00,183.7,185.04,181.32,182.55,16852.54
2020-03-12 02:00:00,184.43,187.3,182.0,183.7,26213.18
2020-03-12 01:00:00,193.44,193.71,183.47,184.43,26305.19
